transaction_id,date,employee_id,vendor_id,amount,category,invoice_number,is_fraud,fraud_type,z_score,pair_frequency,employee_total_spend,cat_percentile
8883,2025-05-26,EMP-005,PROV-056,1095.29,Travel,INV-056-20250526-8882,False,,-0.6659954765816483,4,284568.78,0.26842105263157895
14136,2025-01-13,EMP-090,PROV-046,1587.28,Travel,INV-046-20250113-14135,False,,0.07949645378422912,5,209935.73,0.5412280701754386
3239,2025-11-07,EMP-062,PROV-038,703.51,Supplies,INV-038-20251107-3238,False,,0.9996193838738974,3,55282.7,0.921421889616464
13247,2025-05-25,EMP-091,PROV-005,788.1,Travel,INV-005-20250525-13246,False,,-1.1314676733520985,4,226325.98,0.1347953216374269
10180,2025-11-16,EMP-067,PROV-034,1140.86,Logistics,INV-034-20251116-10179,False,,-0.17337404861184752,4,197591.51,0.450993600538902
11029,2025-06-15,EMP-028,PROV-016,2044.89,IT,INV-016-20250615-11028,False,,0.25121372316321244,4,287056.24,0.6030570814425603
11578,2025-08-05,EMP-031,PROV-016,2006.23,Travel,INV-016-20250805-11577,False,,0.7143139180147711,4,258589.75,0.7701754385964912
14601,2025-11-26,EMP-063,PROV-016,1856.03,IT,INV-016-20251126-14600,False,,0.02599475553798445,4,293561.01,0.5219727728684022
3195,2025-06-14,EMP-082,PROV-056,779.8,Supplies,INV-056-20250614-3194,False,,1.274657799469592,4,63239.13,0.9653882132834425
8952,2025-07-26,EMP-032,PROV-038,1880.77,Travel,INV-038-20250726-8951,False,,0.5242096118628107,3,259557.47,0.7008771929824561
2737,2025-09-26,EMP-025,PROV-060,755.49,IT,INV-060-20250926-2736,False,,-1.286419109919329,3,236917.21,0.1029376641987103
296,2025-11-26,EMP-017,PROV-002,1899.3,Logistics,INV-002-20251126-0295,False,,1.1263680474311197,5,186723.46,0.8726844055237454
7173,2025-02-27,EMP-069,PROV-013,560.7,IT,INV-013-20250227-7172,False,,-1.5187097098542974,2,275074.72,0.059230952949605925
11996,2025-04-02,EMP-037,PROV-025,813.62,Supplies,INV-025-20250402-11995,False,,1.3965846472274424,3,65531.63,0.9724041159962582
4704,2025-02-23,EMP-052,PROV-066,219.83,Supplies,INV-066-20250223-4703,False,,-0.7441292182407389,4,58331.59,0.16838166510757718
970,2025-11-27,EMP-027,PROV-014,1009.13,IT,INV-014-20251127-0969,False,,-0.9839488200301901,5,297695.61,0.17267733460711726
11011,2025-12-20,EMP-012,PROV-045,425.1,Logistics,INV-045-20251220-11010,False,,-1.3999752334962339,4,177196.16,0.0676995621421354
7150,2025-09-28,EMP-041,PROV-036,947.07,Marketing,INV-036-20250928-7149,False,,0.20027638437355624,2,152979.0,0.6075616659927214
6560,2025-01-28,EMP-088,PROV-018,2032.06,Travel,INV-018-20250128-6559,False,,0.7534530398695863,4,224278.48,0.7789473684210526
8853,2025-07-26,EMP-021,PROV-019,925.74,Marketing,INV-019-20250726-8852,False,,0.1507364984367077,4,137154.78,0.5895673271330368
9121,2025-09-01,EMP-021,PROV-064,486.29,Marketing,INV-064-20250901-9120,False,,-0.8699059242050198,1,137154.78,0.187221997573797
14743,2025-07-13,EMP-086,PROV-002,1025.22,Marketing,INV-002-20250713-14742,False,,0.3817832801056099,4,133466.01,0.680145572179539
11141,2025-10-19,EMP-081,PROV-011,752.4,Marketing,INV-011-20251019-11140,False,,-0.2518534606956557,2,140134.76,0.41892438334007276
7174,2025-03-25,EMP-026,PROV-044,147.68,Supplies,INV-044-20250325-7173,False,,-1.0042422302374536,2,70030.07,0.08419083255378859
10672,2025-03-25,EMP-015,PROV-041,1395.89,IT,INV-041-20250325-10671,False,,-0.5227305211911922,1,279129.22,0.32051588249343205
9799,2025-03-05,EMP-094,PROV-059,131.84,Marketing,INV-059-20250305-9798,False,,-1.6931320175156588,4,139987.47,0.015365952284674484
5347,2025-12-28,EMP-054,PROV-040,2945.07,IT,INV-040-20251228-5346,False,,1.324694662890405,3,342551.38,0.8989730117028899
842,2025-02-27,EMP-050,PROV-012,1220.07,IT,INV-012-20250227-0841,False,,-0.7323990528435674,4,273847.22,0.25053737759732503
6485,2025-11-28,EMP-027,PROV-029,628.28,IT,INV-029-20251128-6484,False,,-1.438119336921369,3,297695.61,0.07260568426080725
11796,2025-10-25,EMP-036,PROV-059,1282.51,Logistics,INV-059-20251025-11795,False,,0.06937220409698429,4,201368.76,0.5570899292691142
5717,2025-09-26,EMP-028,PROV-057,1507.28,IT,INV-057-20250926-5716,False,,-0.38989593046910126,2,287056.24,0.3689992834965369
9239,2025-07-18,EMP-002,PROV-065,718.91,Supplies,INV-065-20250718-9238,False,,1.0551390011261412,3,102059.67,0.931244153414406
13866,2025-07-28,EMP-029,PROV-060,601.08,Logistics,INV-060-20250728-13865,False,,-1.0983975028100341,2,204673.19,0.1316941731222634
234,2025-10-06,EMP-023,PROV-016,3110.05,Travel,INV-016-20251006-0233,False,,2.386886333259924,3,244403.75,0.9897660818713451
2477,2025-09-05,EMP-036,PROV-070,1943.94,Logistics,INV-070-20250905-2476,False,,1.2028678195519968,2,201368.76,0.8868305826877737
12502,2025-05-02,EMP-026,PROV-043,539.92,Supplies,INV-043-20250502-12501,False,,0.4098496315171048,3,70030.07,0.7609915809167446
14681,2025-02-25,EMP-029,PROV-014,841.21,Logistics,INV-014-20250225-14680,False,,-0.6868856237915254,7,204673.19,0.25867295385651734
13001,2025-08-27,EMP-003,PROV-058,1551.03,Logistics,INV-058-20250827-13000,False,,0.5295361559316153,3,244417.27,0.7217918491074435
4521,2025-12-23,EMP-096,PROV-030,1053.06,Marketing,INV-030-20251223-4520,False,,0.4464429343241686,3,122852.96,0.7076425394257986
2824,2025-09-07,EMP-052,PROV-069,769.3,Supplies,INV-069-20250907-2823,False,,1.2368035149794254,2,58331.59,0.9579045837231057
5395,2025-03-01,EMP-005,PROV-034,1627.49,Travel,INV-034-20250301-5394,False,,0.14042498997401337,2,284568.78,0.5687134502923976
12459,2025-11-15,EMP-002,PROV-020,117.17,Supplies,INV-020-20251115-12458,False,,-1.114235965456023,4,102059.67,0.05472404115996258
9505,2025-11-26,EMP-100,PROV-034,2043.39,Travel,INV-034-20251126-9504,False,,0.7706209163935919,3,182897.0,0.7827485380116959
8216,2025-12-01,EMP-077,PROV-041,2120.72,Travel,INV-041-20251201-8215,False,,0.8877958406302493,3,212680.56,0.8134502923976609
11719,2025-10-14,EMP-087,PROV-013,1599.95,IT,INV-013-20251014-11718,False,,-0.2793852785055839,3,264471.28,0.4072128015285407
11475,2025-02-01,EMP-025,PROV-055,2458.27,IT,INV-055-20250201-11474,False,,0.7441768537197975,1,236917.21,0.7747790780988775
11598,2025-11-26,EMP-004,PROV-067,1175.51,Marketing,INV-067-20251126-11597,False,,0.7308385758134839,3,132490.36,0.8038819247877073
10614,2025-02-12,EMP-062,PROV-025,572.24,Supplies,INV-025-20250212-10613,False,,0.5263687243477886,3,55282.7,0.8058933582787652
12004,2025-06-05,EMP-097,PROV-030,1178.04,Logistics,INV-030-20250605-12003,False,,-0.10965851260256848,1,182952.31,0.482990906028966
9160,2025-12-17,EMP-100,PROV-041,2449.67,Travel,INV-041-20251217-9159,False,,1.386240057979902,2,182897.0,0.9122807017543859
15067,2025-01-16,EMP-002,PROV-047,3826.98,Supplies,INV-047-20250115-15066,True,duplicate_invoice,12.260259572111995,4,102059.67,0.9990645463049579
6590,2025-04-09,EMP-029,PROV-043,1241.72,Logistics,INV-043-20250409-6589,False,,-0.0005298054193816401,2,204673.19,0.5281239474570563
9592,2025-10-03,EMP-062,PROV-037,266.4,Supplies,INV-037-20251003-9591,False,,-0.5762364536019725,3,55282.7,0.23947614593077643
8084,2025-10-11,EMP-017,PROV-031,188.65,Logistics,INV-031-20251011-8083,False,,-1.8051806796875733,3,186723.46,0.014482990906028967
9182,2025-01-28,EMP-016,PROV-009,1223.05,IT,INV-009-20250128-9181,False,,-0.728845348917256,4,235326.09,0.25173155003582515
9424,2025-09-28,EMP-005,PROV-027,2682.85,Travel,INV-027-20250928-9423,False,,1.7395679880653003,3,284568.78,0.9546783625730995
3340,2025-09-01,EMP-045,PROV-028,346.5,Logistics,INV-028-20250901-3339,False,,-1.534672412902617,6,165974.67,0.04917480633209835
10767,2025-05-03,EMP-095,PROV-064,236.59,Logistics,INV-064-20250503-10766,False,,-1.7230256824771153,2,167366.6,0.02593465813405187
66,2025-12-22,EMP-045,PROV-046,916.04,Logistics,INV-046-20251222-0065,False,,-0.5586491106238456,5,165974.67,0.3081845739306164
7253,2025-05-10,EMP-036,PROV-004,1779.05,Logistics,INV-004-20250510-7252,False,,0.9202950725759342,3,201368.76,0.8265409228696531
13589,2025-02-07,EMP-026,PROV-046,667.26,Supplies,INV-046-20250207-13588,False,,0.8689319731340371,3,70030.07,0.89733395696913
